method,radius,MAE,RMSE,n_rows
"Tinker minimize (paper feats, n=290)",7,0.7532308878569767,1.1180672290025297,290
"Tinker minimize (paper feats, n=290)",8,0.7482577804861398,1.1297130973645122,290
"Tinker minimize (paper feats, n=290)",9,0.7468784139074128,1.1042788368478054,290
"Tinker minimize (paper feats, n=290)",10,0.7437930292096632,1.110157844996382,290
"Tinker minimize (paper feats, n=290)",11,0.7382373542621218,1.1189817602620233,290
"FFX rotopt   (paper feats, n=292)",7,0.7148473515181706,1.0541097927665608,292
"FFX rotopt   (paper feats, n=292)",8,0.7208244191093006,1.0636438287181695,292
"FFX rotopt   (paper feats, n=292)",9,0.7056363684829624,1.0371296781837356,292
"FFX rotopt   (paper feats, n=292)",10,0.7127560551413176,1.0630136073525556,292
"FFX rotopt   (paper feats, n=292)",11,0.7199983959088381,1.0801919974337033,292
"FFX rotopt   (titrate-aware feats, n=343)",7,0.7602476601740893,1.1853759342296548,343
"FFX rotopt   (titrate-aware feats, n=343)",8,0.7631714060827463,1.2021184225315877,343
"FFX rotopt   (titrate-aware feats, n=343)",9,0.7601658969266074,1.1888243815306936,343
"FFX rotopt   (titrate-aware feats, n=343)",10,0.7574202869018587,1.1845275026035775,343
"FFX rotopt   (titrate-aware feats, n=343)",11,0.7628815697922426,1.1982483404611015,343
