component,explained_variance,explained_variance_pct,cumulative_pct
1,4.8362846,12.08836,12.08836
2,2.9030166,7.2561293,19.34449
3,2.254466,5.635069,24.979559
4,2.0134254,5.0325847,30.012142
5,1.7127886,4.2811384,34.29328
6,1.6736401,4.1832867,38.47657
7,1.556015,3.889281,42.36585
8,1.4834287,3.7078505,46.0737
9,1.4500778,3.624489,49.69819
10,1.4331483,3.5821736,53.280365
11,1.3681461,3.4197,56.70006
12,1.2777587,3.1937757,59.89384
13,1.2317431,3.0787587,62.9726
14,1.1400427,2.8495522,65.82215
15,1.0675905,2.668457,68.490616
