group,n_features,baseline_MAE,shuffled_MAE,delta_MAE_mean,delta_MAE_std
residue_one_hot,6,0.6253478419024419,1.0362083936385877,0.41086055173614594,0.013046980775031556
protonation,1,0.6253478419024419,0.9971631323823036,0.3718152904798617,0.0028046482552561078
local_coords,3,0.6253478419024419,0.9339616962790129,0.3086138543765711,0.01171193464179313
hbonds,2,0.6253478419024419,0.8071508470978982,0.1818030051954563,0.0169659881905296
perm_multipoles,10,0.6253478419024419,0.7727528704617319,0.14740502855929002,0.016618470458647734
atom_label_one_hot,10,0.6253478419024419,0.6907944598586898,0.06544661795624793,0.005584809104535228
neighbour_counts,4,0.6253478419024419,0.6478907730644203,0.02254293116197843,0.0023151017915780327
induced_dipoles,3,0.6253478419024419,0.6303197984608999,0.004971956558458035,0.0022467408355542765
sasa,1,0.6253478419024419,0.6283881999934908,0.0030403580910489227,0.001421300901130421
pH,1,0.6253478419024419,0.6253478419024419,0.0,0.0
