component,rank,feature,loading,abs_loading,pc_var_pct
1,1,Radius_7A_CA_C_Count,0.4323584735393524,0.4323584735393524,12.08836
1,2,Radius_7A_N_Count,0.4283474087715149,0.4283474087715149,12.08836
1,3,Radius_7A_O_Count,0.4253288507461548,0.4253288507461548,12.08836
1,4,atom_label_oh_7,-0.32030174136161804,0.32030174136161804,12.08836
1,5,Dipole_X,-0.21060852706432343,0.21060852706432343,12.08836
1,6,recalculated_x,0.1957978755235672,0.1957978755235672,12.08836
1,7,Radius_7A_S_Count,0.1909949779510498,0.1909949779510498,12.08836
1,8,SASA_Value,-0.1567825824022293,0.1567825824022293,12.08836
2,1,atom_label_oh_8,0.40854528546333313,0.40854528546333313,7.2561293
2,2,is_protonated,-0.40763548016548157,0.40763548016548157,7.2561293
2,3,Perm_Charge,-0.36794883012771606,0.36794883012771606,7.2561293
2,4,Number of H-Bonds as acceptor,0.32392245531082153,0.32392245531082153,7.2561293
2,5,Residue Name_Histidine,-0.277407705783844,0.277407705783844,7.2561293
2,6,SASA_Value,0.2712284028530121,0.2712284028530121,7.2561293
2,7,Residue Name_Aspartate,0.23389631509780884,0.23389631509780884,7.2561293
2,8,Residue Name_Glutamate,0.23083972930908203,0.23083972930908203,7.2561293
3,1,Perm_Charge,0.3547259271144867,0.3547259271144867,5.635069
3,2,is_protonated,-0.3405040502548218,0.3405040502548218,5.635069
3,3,atom_label_oh_2,0.3307693898677826,0.3307693898677826,5.635069
3,4,atom_label_oh_4,0.24879904091358185,0.24879904091358185,5.635069
3,5,Residue Name_Histidine,-0.24097025394439697,0.24097025394439697,5.635069
3,6,recalculated_y,-0.23153415322303772,0.23153415322303772,5.635069
3,7,Residue Name_Glutamate,0.2280702143907547,0.2280702143907547,5.635069
3,8,atom_label_oh_6,-0.2190261036157608,0.2190261036157608,5.635069
4,1,atom_label_oh_3,0.4124806523323059,0.4124806523323059,5.0325847
4,2,Dipole_Y,-0.38780033588409424,0.38780033588409424,5.0325847
4,3,atom_label_oh_0,-0.35407862067222595,0.35407862067222595,5.0325847
4,4,recalculated_x,0.33704298734664917,0.33704298734664917,5.0325847
4,5,Number of H-Bonds as donor,-0.3211008906364441,0.3211008906364441,5.0325847
4,6,atom_label_oh_2,0.2339484989643097,0.2339484989643097,5.0325847
4,7,is_protonated,0.23043201863765717,0.23043201863765717,5.0325847
4,8,Number of H-Bonds as acceptor,0.20501405000686646,0.20501405000686646,5.0325847
5,1,atom_label_oh_1,0.587735116481781,0.587735116481781,4.2811384
5,2,Dipole_X,-0.4405067563056946,0.4405067563056946,4.2811384
5,3,Dipole_Y,0.3546064794063568,0.3546064794063568,4.2811384
5,4,atom_label_oh_2,-0.21983785927295685,0.21983785927295685,4.2811384
5,5,Number of H-Bonds as donor,-0.20491096377372742,0.20491096377372742,4.2811384
5,6,Perm_Charge,-0.19561350345611572,0.19561350345611572,4.2811384
5,7,Residue Name_Cysteine,0.19296376407146454,0.19296376407146454,4.2811384
5,8,atom_label_oh_0,-0.1790795475244522,0.1790795475244522,4.2811384
6,1,atom_label_oh_5,0.5691657662391663,0.5691657662391663,4.1832867
6,2,Number of H-Bonds as donor,-0.4280913472175598,0.4280913472175598,4.1832867
6,3,atom_label_oh_0,-0.39096522331237793,0.39096522331237793,4.1832867
6,4,recalculated_x,-0.18657386302947998,0.18657386302947998,4.1832867
6,5,atom_label_oh_4,-0.1769265979528427,0.1769265979528427,4.1832867
6,6,Perm_QuadXX,-0.16031190752983093,0.16031190752983093,4.1832867
6,7,Residue Name_Tyrosine,0.15725967288017273,0.15725967288017273,4.1832867
6,8,recalculated_y,0.15066708624362946,0.15066708624362946,4.1832867
7,1,Perm_QuadXY,0.7023380994796753,0.7023380994796753,3.889281
7,2,Perm_QuadYY,-0.6512710452079773,0.6512710452079773,3.889281
7,3,Residue Name_Glutamate,0.123098224401474,0.123098224401474,3.889281
7,4,Residue Name_Aspartate,-0.10589869320392609,0.10589869320392609,3.889281
7,5,atom_label_oh_0,-0.08782161772251129,0.08782161772251129,3.889281
7,6,Residue Name_Tyrosine,-0.08605370670557022,0.08605370670557022,3.889281
7,7,atom_label_oh_6,0.08196735382080078,0.08196735382080078,3.889281
7,8,atom_label_oh_9,0.07513607293367386,0.07513607293367386,3.889281
8,1,Perm_QuadXX,0.7482409477233887,0.7482409477233887,3.7078505
8,2,Perm_QuadYY,-0.40873199701309204,0.40873199701309204,3.7078505
8,3,Perm_QuadXY,-0.31723740696907043,0.31723740696907043,3.7078505
8,4,atom_label_oh_9,0.17907539010047913,0.17907539010047913,3.7078505
8,5,Residue Name_Cysteine,0.1455184519290924,0.1455184519290924,3.7078505
8,6,Radius_7A_S_Count,0.13891713321208954,0.13891713321208954,3.7078505
8,7,atom_label_oh_5,0.11676158010959625,0.11676158010959625,3.7078505
8,8,Residue Name_Histidine,-0.10198017209768295,0.10198017209768295,3.7078505
9,1,atom_label_oh_4,0.44622188806533813,0.44622188806533813,3.624489
9,2,Residue Name_Lysine,-0.32008594274520874,0.32008594274520874,3.624489
9,3,recalculated_z,-0.3016839623451233,0.3016839623451233,3.624489
9,4,Residue Name_Cysteine,0.2755061984062195,0.2755061984062195,3.624489
9,5,atom_label_oh_7,-0.26577723026275635,0.26577723026275635,3.624489
9,6,Residue Name_Glutamate,-0.2562481760978699,0.2562481760978699,3.624489
9,7,atom_label_oh_1,-0.23273073136806488,0.23273073136806488,3.624489
9,8,atom_label_oh_9,0.21524876356124878,0.21524876356124878,3.624489
10,1,Residue Name_Cysteine,0.41690966486930847,0.41690966486930847,3.5821736
10,2,Residue Name_Histidine,-0.39407485723495483,0.39407485723495483,3.5821736
10,3,atom_label_oh_9,0.3503342866897583,0.3503342866897583,3.5821736
10,4,atom_label_oh_6,-0.2711702883243561,0.2711702883243561,3.5821736
10,5,Radius_7A_S_Count,0.2547745704650879,0.2547745704650879,3.5821736
10,6,Residue Name_Lysine,0.23889516294002533,0.23889516294002533,3.5821736
10,7,Residue Name_Tyrosine,0.2107277363538742,0.2107277363538742,3.5821736
