"Variant","Seed","MAE","RMSE","N"
"Charge","42","0.6746","1.0623","312"
"Charge","1","0.683","1.0571","312"
"Charge","7","0.683","1.0522","312"
"Charge","123","0.6887","1.0454","312"
"NodeDip","42","0.6875","1.0496","312"
"NodeDip","1","0.6848","1.0649","312"
"NodeDip","7","0.6822","1.0868","312"
"NodeDip","123","0.6828","1.0607","312"
"ChargeDip","42","0.6748","1.0638","312"
"ChargeDip","1","0.6724","1.0836","312"
"ChargeDip","7","0.6811","1.0543","312"
"ChargeDip","123","0.6865","1.0641","312"
"EdgeOnlyDip","42","0.6829","1.0542","312"
"EdgeOnlyDip","1","0.6927","1.0635","312"
"EdgeOnlyDip","7","0.6757","1.0425","312"
"EdgeOnlyDip","123","0.6812","1.0516","312"
