pdb_id,job_type,job_script,job_id,status,notes
ALL,prep,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/tinker_prep.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
135L,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/135L_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A2P,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A2P_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A6K,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A6K_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A91,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A91_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A93,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A93_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1ANS,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1ANS_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1AO6,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1AO6_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
ALL,prep,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/tinker_prep.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
135L,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/135L_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A2P,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A2P_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A6K,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A6K_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A91,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A91_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A93,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A93_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1ANS,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1ANS_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1AO6,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1AO6_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1B2V,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1B2V_tinker_min.job,-1,submit_failed,"Unable to run job: denied: host ""argon-itf-bx55-08.hpc"" is not a submit host
Exiting."
1A93,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1A93_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1A93_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1AO6,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1AO6_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1AO6_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1B2V,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1B2V_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1B2V_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1BI6,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1BI6_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1BI6_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1CDC,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1CDC_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1CDC_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1DSB,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1DSB_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1DSB_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1EH6,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1EH6_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1EH6_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1GYM,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1GYM_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1GYM_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1HIC,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1HIC_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1HIC_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1HRC,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1HRC_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1HRC_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1I0E,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1I0E_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1I0E_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1I7K,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1I7K_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1I7K_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1IGD,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1IGD_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1IGD_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1JAS,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1JAS_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1JAS_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1JBB,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1JBB_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1JBB_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1JHB,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1JHB_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1JHB_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1KTE,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1KTE_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1KTE_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1KVR,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1KVR_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1KVR_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1KXI,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1KXI_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1KXI_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1L54,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1L54_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1L54_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1L98,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1L98_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1L98_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1LJU,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1LJU_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1LJU_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1LNI,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/1LNI_tinker_min.job,-1,submit_failed,"Unable to run job: denied: ""1LNI_tinker_min"" is not a valid object name (cannot start with a digit)
Exiting."
1A93,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1A93_tinker.job,5859131,submitted,
1AO6,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1AO6_tinker.job,5859133,submitted,
1B2V,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1B2V_tinker.job,5859136,submitted,
1BI6,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1BI6_tinker.job,5859138,submitted,
1CDC,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1CDC_tinker.job,5859141,submitted,
1DSB,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1DSB_tinker.job,5859142,submitted,
1EH6,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1EH6_tinker.job,5859145,submitted,
1GYM,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1GYM_tinker.job,5859147,submitted,
1HIC,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1HIC_tinker.job,5859149,submitted,
1HRC,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1HRC_tinker.job,5859150,submitted,
1I0E,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1I0E_tinker.job,5859152,submitted,
1I7K,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1I7K_tinker.job,5859154,submitted,
1IGD,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1IGD_tinker.job,5859156,submitted,
1JAS,minimize,/Dedicated/schnieders/maemmad/pKa_GNN/data/sge_jobs_tinker/min_1JAS_tinker.job,5859158,submitted,
