pdb_id,job_script,job_id,status,notes
135L,data/sge_jobs/135L_minimize.job,5801145,submitted,
1A2P,data/sge_jobs/1A2P_minimize.job,5801146,submitted,
1A6K,data/sge_jobs/1A6K_minimize.job,5801147,submitted,
1A91,data/sge_jobs/1A91_minimize.job,5801148,submitted,
1ANS,data/sge_jobs/1ANS_minimize.job,5801149,submitted,
1AO6,data/sge_jobs/1AO6_minimize.job,5801150,submitted,
1AZP,data/sge_jobs/1AZP_minimize.job,5801151,submitted,
1B2V,data/sge_jobs/1B2V_minimize.job,5801152,submitted,
1BED,data/sge_jobs/1BED_minimize.job,5801153,submitted,
1BEO,data/sge_jobs/1BEO_minimize.job,5801154,submitted,
1BI6,data/sge_jobs/1BI6_minimize.job,5801155,submitted,
1BNZ,data/sge_jobs/1BNZ_minimize.job,5801156,submitted,
1BPI,data/sge_jobs/1BPI_minimize.job,5801157,submitted,
1CDC,data/sge_jobs/1CDC_minimize.job,5801158,submitted,
1DE3,data/sge_jobs/1DE3_minimize.job,5801160,submitted,
1DG9,data/sge_jobs/1DG9_minimize.job,5801161,submitted,
1DIV,data/sge_jobs/1DIV_minimize.job,5801162,submitted,
1DSB,data/sge_jobs/1DSB_minimize.job,5801163,submitted,
1EEJ,data/sge_jobs/1EEJ_minimize.job,5801164,submitted,
1EGF,data/sge_jobs/1EGF_minimize.job,5801165,submitted,
1EH6,data/sge_jobs/1EH6_minimize.job,5801166,submitted,
1ERT,data/sge_jobs/1ERT_minimize.job,5801167,submitted,
1EX3,data/sge_jobs/1EX3_minimize.job,5801168,submitted,
1FEZ,data/sge_jobs/1FEZ_minimize.job,5801169,submitted,
1FKS,data/sge_jobs/1FKS_minimize.job,5801170,submitted,
1FNA,data/sge_jobs/1FNA_minimize.job,5801171,submitted,
1FOV,data/sge_jobs/1FOV_minimize.job,5801173,submitted,
1GS9,data/sge_jobs/1GS9_minimize.job,5801174,submitted,
1GYM,data/sge_jobs/1GYM_minimize.job,5801175,submitted,
1HIC,data/sge_jobs/1HIC_minimize.job,5801176,submitted,
1HRC,data/sge_jobs/1HRC_minimize.job,5801177,submitted,
1I0E,data/sge_jobs/1I0E_minimize.job,5801178,submitted,
1I7K,data/sge_jobs/1I7K_minimize.job,5801179,submitted,
1IGD,data/sge_jobs/1IGD_minimize.job,5801180,submitted,
1JAS,data/sge_jobs/1JAS_minimize.job,5801181,submitted,
1JBB,data/sge_jobs/1JBB_minimize.job,5801183,submitted,
1JHB,data/sge_jobs/1JHB_minimize.job,5801184,submitted,
1KTE,data/sge_jobs/1KTE_minimize.job,5801185,submitted,
1KVR,data/sge_jobs/1KVR_minimize.job,5801186,submitted,
1KXI,data/sge_jobs/1KXI_minimize.job,5801187,submitted,
1L54,data/sge_jobs/1L54_minimize.job,5801188,submitted,
1L98,data/sge_jobs/1L98_minimize.job,5801189,submitted,
1LNI,data/sge_jobs/1LNI_minimize.job,5801190,submitted,
1LZ1,data/sge_jobs/1LZ1_minimize.job,5801191,submitted,
1MBC,data/sge_jobs/1MBC_minimize.job,5801192,submitted,
1MEK,data/sge_jobs/1MEK_minimize.job,5801193,submitted,
1MUT,data/sge_jobs/1MUT_minimize.job,5801194,submitted,
1NLX,data/sge_jobs/1NLX_minimize.job,5801195,submitted,
1O73,data/sge_jobs/1O73_minimize.job,5801196,submitted,
1P5F,data/sge_jobs/1P5F_minimize.job,5801197,submitted,
1PGB,data/sge_jobs/1PGB_minimize.job,5801198,submitted,
1POH,data/sge_jobs/1POH_minimize.job,5801199,submitted,
1PPF,data/sge_jobs/1PPF_minimize.job,5801200,submitted,
1PPN,data/sge_jobs/1PPN_minimize.job,5801201,submitted,
1PPO,data/sge_jobs/1PPO_minimize.job,5801203,submitted,
1QH7,data/sge_jobs/1QH7_minimize.job,5801205,submitted,
1QK1,data/sge_jobs/1QK1_minimize.job,5801207,submitted,
1QLP,data/sge_jobs/1QLP_minimize.job,5801208,submitted,
1QT8,data/sge_jobs/1QT8_minimize.job,5801210,submitted,
1ST9,data/sge_jobs/1ST9_minimize.job,5801211,submitted,
1STN,data/sge_jobs/1STN_minimize.job,5801214,submitted,
1SU9,data/sge_jobs/1SU9_minimize.job,5801215,submitted,
1THE,data/sge_jobs/1THE_minimize.job,5801217,submitted,
1UBQ,data/sge_jobs/1UBQ_minimize.job,5801219,submitted,
1V57,data/sge_jobs/1V57_minimize.job,5801221,submitted,
1VII,data/sge_jobs/1VII_minimize.job,5801222,submitted,
1XNB,data/sge_jobs/1XNB_minimize.job,5801223,submitted,
1XOB,data/sge_jobs/1XOB_minimize.job,5801226,submitted,
1YMB,data/sge_jobs/1YMB_minimize.job,5801227,submitted,
1YPH,data/sge_jobs/1YPH_minimize.job,5801230,submitted,
1YPI,data/sge_jobs/1YPI_minimize.job,5801231,submitted,
1YPT,data/sge_jobs/1YPT_minimize.job,5801233,submitted,
2BUS,data/sge_jobs/2BUS_minimize.job,5801235,submitted,
2CI2,data/sge_jobs/2CI2_minimize.job,5801238,submitted,
2CPL,data/sge_jobs/2CPL_minimize.job,5801240,submitted,
2FD3,data/sge_jobs/2FD3_minimize.job,5801243,submitted,
2FWF,data/sge_jobs/2FWF_minimize.job,5801245,submitted,
2HNP,data/sge_jobs/2HNP_minimize.job,5801248,submitted,
2KIX,data/sge_jobs/2KIX_minimize.job,5801250,submitted,
2L6X,data/sge_jobs/2L6X_minimize.job,5801251,submitted,
2L90,data/sge_jobs/2L90_minimize.job,5801253,submitted,
2LZM,data/sge_jobs/2LZM_minimize.job,5801257,submitted,
2O89,data/sge_jobs/2O89_minimize.job,5801258,submitted,
2OEO,data/sge_jobs/2OEO_minimize.job,5801261,submitted,
2OXP,data/sge_jobs/2OXP_minimize.job,5801262,submitted,
2PPT,data/sge_jobs/2PPT_minimize.job,5801264,submitted,
2RBM,data/sge_jobs/2RBM_minimize.job,5801266,submitted,
2RKS,data/sge_jobs/2RKS_minimize.job,5801268,submitted,
2RN2,data/sge_jobs/2RN2_minimize.job,5801270,submitted,
2RVQ,data/sge_jobs/2RVQ_minimize.job,5801272,submitted,
2TGA,data/sge_jobs/2TGA_minimize.job,5801273,submitted,
2TRX,data/sge_jobs/2TRX_minimize.job,5801275,submitted,
2V8N,data/sge_jobs/2V8N_minimize.job,5801277,submitted,
2ZTA,data/sge_jobs/2ZTA_minimize.job,5801279,submitted,
3BDC,data/sge_jobs/3BDC_minimize.job,5801283,submitted,
3C1E,data/sge_jobs/3C1E_minimize.job,5801285,submitted,
3C1F,data/sge_jobs/3C1F_minimize.job,5801287,submitted,
3D4D,data/sge_jobs/3D4D_minimize.job,5801289,submitted,
3DMU,data/sge_jobs/3DMU_minimize.job,5801291,submitted,
3E5S,data/sge_jobs/3E5S_minimize.job,5801293,submitted,
3EBX,data/sge_jobs/3EBX_minimize.job,5801295,submitted,
3EJI,data/sge_jobs/3EJI_minimize.job,5801297,submitted,
3ERO,data/sge_jobs/3ERO_minimize.job,5801298,submitted,
3ERQ,data/sge_jobs/3ERQ_minimize.job,5801299,submitted,
3EVQ,data/sge_jobs/3EVQ_minimize.job,5801302,submitted,
3FT7,data/sge_jobs/3FT7_minimize.job,5801304,submitted,
3FX5,data/sge_jobs/3FX5_minimize.job,5801306,submitted,
3H6M,data/sge_jobs/3H6M_minimize.job,5801307,submitted,
3HZX,data/sge_jobs/3HZX_minimize.job,5801308,submitted,
3ITP,data/sge_jobs/3ITP_minimize.job,5801310,submitted,
3P75,data/sge_jobs/3P75_minimize.job,5801314,submitted,
3QOJ,data/sge_jobs/3QOJ_minimize.job,5801317,submitted,
3QOL,data/sge_jobs/3QOL_minimize.job,5801318,submitted,
3RUZ,data/sge_jobs/3RUZ_minimize.job,5801320,submitted,
3SK5,data/sge_jobs/3SK5_minimize.job,5801322,submitted,
3SSI,data/sge_jobs/3SSI_minimize.job,5801324,submitted,
3TP7,data/sge_jobs/3TP7_minimize.job,5801328,submitted,
3TP8,data/sge_jobs/3TP8_minimize.job,5801330,submitted,
4BYA,data/sge_jobs/4BYA_minimize.job,5801333,submitted,
4EQP,data/sge_jobs/4EQP_minimize.job,5801336,submitted,
4HHB,data/sge_jobs/4HHB_minimize.job,5801340,submitted,
4HMI,data/sge_jobs/4HMI_minimize.job,5801342,submitted,
4HMJ,data/sge_jobs/4HMJ_minimize.job,5801344,submitted,
4ICB,data/sge_jobs/4ICB_minimize.job,5801345,submitted,
4KY5,data/sge_jobs/4KY5_minimize.job,5801347,submitted,
4KY6,data/sge_jobs/4KY6_minimize.job,5801349,submitted,
4KY7,data/sge_jobs/4KY7_minimize.job,5801351,submitted,
4LZT,data/sge_jobs/4LZT_minimize.job,5801354,submitted,
4MA9,data/sge_jobs/4MA9_minimize.job,5801355,submitted,
4PTI,data/sge_jobs/4PTI_minimize.job,5801358,submitted,
4QYT,data/sge_jobs/4QYT_minimize.job,5801361,submitted,
4XLL,data/sge_jobs/4XLL_minimize.job,5801362,submitted,
4YIJ,data/sge_jobs/4YIJ_minimize.job,5801364,submitted,
5DEH,data/sge_jobs/5DEH_minimize.job,5801367,submitted,
5E1F,data/sge_jobs/5E1F_minimize.job,5801369,submitted,
5E3F,data/sge_jobs/5E3F_minimize.job,5801370,submitted,
5EGT,data/sge_jobs/5EGT_minimize.job,5801372,submitted,
5I6W,data/sge_jobs/5I6W_minimize.job,5801373,submitted,
5I6Y,data/sge_jobs/5I6Y_minimize.job,5801374,submitted,
5IIF,data/sge_jobs/5IIF_minimize.job,5801375,submitted,
5ISR,data/sge_jobs/5ISR_minimize.job,5801377,submitted,
5J1Z,data/sge_jobs/5J1Z_minimize.job,5801379,submitted,
5JAV,data/sge_jobs/5JAV_minimize.job,5801381,submitted,
5KGU,data/sge_jobs/5KGU_minimize.job,5801384,submitted,
5KIX,data/sge_jobs/5KIX_minimize.job,5801386,submitted,
6EEG,data/sge_jobs/6EEG_minimize.job,5801387,submitted,
6GST,data/sge_jobs/6GST_minimize.job,5801388,submitted,
7RSA,data/sge_jobs/7RSA_minimize.job,5801391,submitted,
8I41,data/sge_jobs/8I41_minimize.job,5801392,submitted,
8UOZ,data/sge_jobs/8UOZ_minimize.job,5801394,submitted,
9RNT,data/sge_jobs/9RNT_minimize.job,5801395,submitted,
135L_min,data/sge_jobs/135L_min_minimize.job,5804756,submitted,
135L_min_2,data/sge_jobs/135L_min_2_minimize.job,5804757,submitted,
1A6K_min,data/sge_jobs/1A6K_min_minimize.job,5804758,submitted,
