pdb_id,status,multi_model_stripped,missing_residues_count,missing_atoms_count,nonstandard_replaced,large_missing_residues,notes
1A93,FAILED,,4,0,,,AttributeError: 'NoneType' object has no attribute 'topology'
1FMH,FAILED,yes (1005 ATOM/HETATM lines),4,0,,,AttributeError: 'NoneType' object has no attribute 'topology'
1I0E,ok,,64,100,,chain 0 pos 0 (7 residues); chain 0 pos 315 (9 residues); chain 1 pos 0 (7 residues); chain 1 pos 315 (9 residues); chain 2 pos 0 (7 residues); chain 2 pos 315 (9 residues); chain 3 pos 0 (7 residues); chain 3 pos 315 (9 residues),
1I0E_NOH_TMP,FAILED,,,,,,FileNotFoundError: [Errno 2] No such file or directory: 'data/raw_pdbs/1I0E_noh_tmp.pdb'
1I7K,ok,,66,0,,chain 0 pos 0 (29 residues); chain 1 pos 0 (29 residues),
1JAS,ok,yes (2391 ATOM/HETATM lines),0,1,,,
1JBB,ok,,11,35,,,
1LJU,FAILED,,1,0,,,AttributeError: 'NoneType' object has no attribute 'topology'
1MEK,ok,yes (1851 ATOM/HETATM lines),0,0,,,
1MUT,ok,yes (2090 ATOM/HETATM lines),0,0,,,
1NLX,ok,,98,0,,,
1PRW,FAILED,,2,0,,,AttributeError: 'NoneType' object has no attribute 'topology'
1QLP,ok,,22,0,,chain 0 pos 0 (22 residues),
1SU9,ok,,13,0,,,
1THE,ok,,14,6,,chain 0 pos 0 (6 residues); chain 1 pos 0 (6 residues),
1U2U,FAILED,yes (1003 ATOM/HETATM lines),4,0,,,AttributeError: 'NoneType' object has no attribute 'topology'
1V57,ok,,24,0,,chain 0 pos 229 (11 residues); chain 1 pos 229 (11 residues),
1VII,ok,,0,0,,,
1XOB,ok,yes (1654 ATOM/HETATM lines),0,1,,,
1YPH,ok,,4,0,,,
1YPI,ok,,0,0,,,
2KIX,ok,yes (2228 ATOM/HETATM lines),0,0,,,
2L6X,ok,yes (3669 ATOM/HETATM lines),8,0,,chain 0 pos 235 (8 residues),
2L90,ok,yes (3282 ATOM/HETATM lines),0,9,,,
2RVQ,ok,yes (4141 ATOM/HETATM lines),0,0,,,
4BYA,ok,yes (1164 ATOM/HETATM lines),0,1,,,
4MA9,ok,,23,8,,chain 0 pos 163 (23 residues),
7RSA,ok,,0,0,,,
8UOZ,ok,yes (3485 ATOM/HETATM lines),0,0,,,
