pdb_id,status,files_moved,subdir,has_final_pdb,has_final_uind,fallback_path
1A2P,not_started,7,data\fixed_pdbs\1A2P,0,0,0
1ANS,complete,9,data\fixed_pdbs\1ANS,0,1,0
1AZP,complete,9,data\fixed_pdbs\1AZP,0,1,0
1B2V,complete,6,data\fixed_pdbs\1B2V,1,1,0
1BNZ,complete,9,data\fixed_pdbs\1BNZ,0,1,0
1CDC,not_started,1,data\fixed_pdbs\1CDC,0,0,0
1DE3,complete,7,data\fixed_pdbs\1DE3,1,1,0
1DIV,complete,9,data\fixed_pdbs\1DIV,0,1,0
1DSB,complete,6,data\fixed_pdbs\1DSB,1,1,0
1FKS,partial,5,data\fixed_pdbs\1FKS,0,0,0
1FNA,partial,5,data\fixed_pdbs\1FNA,0,0,0
1FOV,partial,5,data\fixed_pdbs\1FOV,0,0,0
1GS9,not_started,1,data\fixed_pdbs\1GS9,0,0,0
1HIC,complete,4,data\fixed_pdbs\1HIC,1,1,1
1I0E,not_started,1,data\fixed_pdbs\1I0E,0,0,0
1I7K,not_started,1,data\fixed_pdbs\1I7K,0,0,0
1JAS,complete,7,data\fixed_pdbs\1JAS,1,1,0
1JBB,not_started,1,data\fixed_pdbs\1JBB,0,0,0
1MEK,complete,7,data\fixed_pdbs\1MEK,1,1,0
1MUT,complete,7,data\fixed_pdbs\1MUT,1,1,0
1NLX,not_started,1,data\fixed_pdbs\1NLX,0,0,0
1QLP,complete,6,data\fixed_pdbs\1QLP,1,1,0
1SU9,not_started,1,data\fixed_pdbs\1SU9,0,0,0
1THE,not_started,1,data\fixed_pdbs\1THE,0,0,0
1V57,not_started,1,data\fixed_pdbs\1V57,0,0,0
1VII,complete,7,data\fixed_pdbs\1VII,1,1,0
1XOB,complete,7,data\fixed_pdbs\1XOB,1,1,0
1YPH,not_started,1,data\fixed_pdbs\1YPH,0,0,0
1YPI,not_started,1,data\fixed_pdbs\1YPI,0,0,0
2BUS,not_started,1,data\fixed_pdbs\2BUS,0,0,0
2CPL,not_started,1,data\fixed_pdbs\2CPL,0,0,0
2FWF,partial,5,data\fixed_pdbs\2FWF,0,0,0
2HNP,not_started,1,data\fixed_pdbs\2HNP,0,0,0
2KIX,partial,4,data\fixed_pdbs\2KIX,0,0,0
2L6X,partial,4,data\fixed_pdbs\2L6X,0,0,0
2L90,partial,4,data\fixed_pdbs\2L90,0,0,0
2LZM,partial,4,data\fixed_pdbs\2LZM,0,0,0
2O89,partial,5,data\fixed_pdbs\2O89,0,0,0
2OEO,partial,5,data\fixed_pdbs\2OEO,0,0,0
2OXP,not_started,1,data\fixed_pdbs\2OXP,0,0,0
2PPT,not_started,1,data\fixed_pdbs\2PPT,0,0,0
2RBM,not_started,1,data\fixed_pdbs\2RBM,0,0,0
2RKS,not_started,1,data\fixed_pdbs\2RKS,0,0,0
2RN2,not_started,1,data\fixed_pdbs\2RN2,0,0,0
2RVQ,not_started,1,data\fixed_pdbs\2RVQ,0,0,0
2TGA,not_started,1,data\fixed_pdbs\2TGA,0,0,0
2TRX,not_started,1,data\fixed_pdbs\2TRX,0,0,0
2V8N,not_started,2,data\fixed_pdbs\2V8N,0,0,0
2ZTA,not_started,1,data\fixed_pdbs\2ZTA,0,0,0
3BDC,not_started,1,data\fixed_pdbs\3BDC,0,0,0
3C1E,not_started,1,data\fixed_pdbs\3C1E,0,0,0
3C1F,not_started,1,data\fixed_pdbs\3C1F,0,0,0
3D4D,not_started,1,data\fixed_pdbs\3D4D,0,0,0
3DMU,not_started,1,data\fixed_pdbs\3DMU,0,0,0
3E5S,not_started,1,data\fixed_pdbs\3E5S,0,0,0
3EBX,not_started,1,data\fixed_pdbs\3EBX,0,0,0
3EJI,not_started,1,data\fixed_pdbs\3EJI,0,0,0
3ERO,not_started,1,data\fixed_pdbs\3ERO,0,0,0
3ERQ,not_started,1,data\fixed_pdbs\3ERQ,0,0,0
3EVQ,not_started,1,data\fixed_pdbs\3EVQ,0,0,0
3FT7,not_started,1,data\fixed_pdbs\3FT7,0,0,0
3FX5,not_started,1,data\fixed_pdbs\3FX5,0,0,0
3H6M,not_started,1,data\fixed_pdbs\3H6M,0,0,0
3HZX,not_started,1,data\fixed_pdbs\3HZX,0,0,0
3ITP,not_started,1,data\fixed_pdbs\3ITP,0,0,0
3P75,not_started,1,data\fixed_pdbs\3P75,0,0,0
3QOJ,not_started,1,data\fixed_pdbs\3QOJ,0,0,0
3QOL,not_started,1,data\fixed_pdbs\3QOL,0,0,0
3RUZ,not_started,1,data\fixed_pdbs\3RUZ,0,0,0
3SK5,not_started,1,data\fixed_pdbs\3SK5,0,0,0
3SSI,not_started,1,data\fixed_pdbs\3SSI,0,0,0
3TP7,not_started,1,data\fixed_pdbs\3TP7,0,0,0
3TP8,not_started,1,data\fixed_pdbs\3TP8,0,0,0
4BYA,complete,6,data\fixed_pdbs\4BYA,1,1,0
4EQP,not_started,1,data\fixed_pdbs\4EQP,0,0,0
4HHB,not_started,1,data\fixed_pdbs\4HHB,0,0,0
4HMI,not_started,1,data\fixed_pdbs\4HMI,0,0,0
4HMJ,not_started,1,data\fixed_pdbs\4HMJ,0,0,0
4ICB,not_started,1,data\fixed_pdbs\4ICB,0,0,0
4KY5,not_started,1,data\fixed_pdbs\4KY5,0,0,0
4KY6,not_started,1,data\fixed_pdbs\4KY6,0,0,0
4KY7,not_started,1,data\fixed_pdbs\4KY7,0,0,0
4LZT,not_started,1,data\fixed_pdbs\4LZT,0,0,0
4MA9,not_started,2,data\fixed_pdbs\4MA9,0,0,0
4PTI,not_started,1,data\fixed_pdbs\4PTI,0,0,0
4QYT,not_started,1,data\fixed_pdbs\4QYT,0,0,0
4XLL,not_started,1,data\fixed_pdbs\4XLL,0,0,0
4YIJ,not_started,1,data\fixed_pdbs\4YIJ,0,0,0
5DEH,not_started,1,data\fixed_pdbs\5DEH,0,0,0
5E1F,not_started,1,data\fixed_pdbs\5E1F,0,0,0
5E3F,not_started,1,data\fixed_pdbs\5E3F,0,0,0
5EGT,not_started,1,data\fixed_pdbs\5EGT,0,0,0
5I6W,not_started,1,data\fixed_pdbs\5I6W,0,0,0
5I6Y,not_started,1,data\fixed_pdbs\5I6Y,0,0,0
5IIF,not_started,1,data\fixed_pdbs\5IIF,0,0,0
5ISR,not_started,1,data\fixed_pdbs\5ISR,0,0,0
5J1Z,not_started,1,data\fixed_pdbs\5J1Z,0,0,0
5JAV,not_started,1,data\fixed_pdbs\5JAV,0,0,0
5KGU,not_started,1,data\fixed_pdbs\5KGU,0,0,0
5KIX,not_started,1,data\fixed_pdbs\5KIX,0,0,0
6EEG,not_started,1,data\fixed_pdbs\6EEG,0,0,0
6GST,not_started,2,data\fixed_pdbs\6GST,0,0,0
7RSA,complete,7,data\fixed_pdbs\7RSA,1,1,0
8I41,not_started,2,data\fixed_pdbs\8I41,0,0,0
8UOZ,not_started,2,data\fixed_pdbs\8UOZ,0,0,0
9RNT,not_started,2,data\fixed_pdbs\9RNT,0,0,0
