PDB_ID,Total_Electric_Charge,Filename,First O-H-H-O-H-H Row,Last H in Last O-H-H-O-H-H Row,Last_Atom_ID_In_Source_XYZ,Is_Consecutive_To_First_OHH_OHH
1FKS,4.0,1FKS.xyz,1667,33880,1666,True
4YIJ,17.0,4YIJ.xyz,4363,72138,4362,True
1QK1,88.0,1QK1.xyz,48449,411544,48448,True
5ISR,7.0,5ISR.xyz,2097,33932,2096,True
5KGU,7.0,5KGU.xyz,2099,33928,2098,True
1MBC,14.0,1MBC.xyz,2472,33836,2471,True
4KY7,8.0,4KY7.xyz,2156,33913,2155,True
2RBM,10.0,2RBM.xyz,2126,33904,2125,True
2TGA,9.0,2TGA.xyz,3224,41650,3223,True
2RN2,7.0,2RN2.xyz,2461,41700,2460,True
3TP7,7.0,3TP7.xyz,2100,33950,2099,True
4XLL,4.0,4XLL.xyz,5689,85086,5688,True
1UBQ,1.0,1UBQ.xyz,1233,27230,1232,True
1BPI,6.0,1BPI.xyz,893,27208,892,True
1GYM,-0.0,1GYM.xyz,4807,50694,4806,True
5KIX,7.0,5KIX.xyz,2097,33917,2096,True
5EGT,7.0,5EGT.xyz,2100,33902,2099,True
3C1R,3.0,3C1R.xyz,1883,99679,1882,True
7RSA,8.0,7RSA.xyz,1861,33870,1860,True
5JAV,7.0,5JAV.xyz,2092,33906,2091,True
1KTE,3.0,1KTE.xyz,1665,21353,1664,True
1VII,2.0,1VII.xyz,597,16487,596,True
1KVS,5.0,1KVS.xyz,5197,60672,5196,True
1HIC,-2.0,1HIC.xyz,701,16432,700,True
1KVT,5.0,1KVT.xyz,5199,60689,5198,True
4ICB,-7.0,4ICB.xyz,1220,16402,1219,True
1ERU,-4.0,1ERU.xyz,1632,21290,1631,True
1QLP,-1.0,1QLP.xyz,6257,754669,6256,True
1BVC,14.0,1BVC.xyz,2472,33836,2471,True
3SSI,-3.0,3SSI.xyz,1583,85342,1582,True
1HV1,5.0,1HV1.xyz,2766,27011,2765,True
1XOB,-4.0,1XOB.xyz,1657,21381,1656,True
5E3F,9.0,5E3F.xyz,2104,33942,2103,True
1DIV,13.0,1DIV.xyz,2383,115326,2382,True
1EEJ,4.0,1EEJ.xyz,6587,132037,6586,True
3FX5,8.0,3FX5.xyz,3137,50773,3136,True
1EGO,-3.0,1EGO.xyz,1340,27271,1339,True
3ERO,7.0,3ERO.xyz,2097,33929,2096,True
3F71,6.0,3F71.xyz,2964,115286,2963,True
1EGF,-1.0,1EGF.xyz,795,21386,794,True
1MUT,-4.0,1MUT.xyz,2094,33800,2093,True
4HMI,10.0,4HMI.xyz,2129,33919,2128,True
4PTI,6.0,4PTI.xyz,893,21361,892,True
2H19,-2.0,2H19.xyz,4447,114969,4446,True
3C73,2.0,3C73.xyz,4391,84979,4390,True
1XNB,5.0,1XNB.xyz,2773,27021,2772,True
1L98,8.0,1L98.xyz,2643,50804,2642,True
2RVQ,42.0,2RVQ.xyz,4149,754145,4148,True
4KY6,7.0,4KY6.xyz,2094,33950,2093,True
1EX3,6.0,1EX3.xyz,3579,41750,3578,True
