feature,n_cols,baseline_MAE,perm_MAE,delta_MAE,std_perm_MAE
Residue_OHE,4,0.6582045615680757,1.140011997761265,0.48180743619318933,0.22671051760412111
LocalCoords,3,0.6582045615680757,1.0738649983559885,0.41566043678791276,0.18604228198476352
Hbond_acceptor,1,0.6582045615680757,0.8361216102876972,0.17791704871962144,0.09846877170004203
atomic_charge,1,0.6582045615680757,0.7631833293745595,0.10497876780648374,0.08679099829627897
AtomLabel_OHE,9,0.6582045615680757,0.7448705357889975,0.08666597422092182,0.07363137451581189
Hbond_donor,1,0.6582045615680757,0.728635173843753,0.07043061227567726,0.09779416178089625
RadiusCounts,4,0.6582045615680757,0.7050339348854557,0.04682937331738002,0.11283917827007275
SASA,1,0.6582045615680757,0.6816378728035957,0.02343331123551995,0.10278759842768737
PermDipole,3,0.6582045615680757,0.6723770762643506,0.014172514696274896,0.11170963010927834
InducedDipole,3,0.6582045615680757,0.6705986744934512,0.012394112925375511,0.11572030721466334
