"Variant","Seed","MAE","RMSE","N"
"Charge","42","0.6746","1.0623","312"
"Charge","1","0.683","1.0571","312"
"Charge","7","0.683","1.0522","312"
"Charge","123","0.6887","1.0454","312"
"Charge","2026","0.6897","1.0386","312"
"Charge","17","0.6906","1.0816","312"
"Charge","99","0.6863","1.0736","312"
"Charge","314","0.6817","1.0663","312"
"InducedDip","42","0.6748","1.0638","312"
"InducedDip","1","0.6724","1.0836","312"
"InducedDip","7","0.6811","1.0543","312"
"InducedDip","123","0.6865","1.0641","312"
"InducedDip","2026","0.6854","1.0445","312"
"InducedDip","17","0.6886","1.0648","312"
"InducedDip","99","0.6784","1.0597","312"
"InducedDip","314","0.6773","1.0714","312"
"PermDip","42","0.6933","1.0749","312"
"PermDip","1","0.6806","1.0769","312"
"PermDip","7","0.6835","1.0662","312"
"PermDip","123","0.6875","1.0764","312"
"PermDip","2026","0.6772","1.0414","312"
"PermDip","17","0.6725","1.0321","312"
"PermDip","99","0.6713","1.0551","312"
"PermDip","314","0.6876","1.0545","312"
"BothDip","42","0.6884","1.0882","312"
"BothDip","1","0.6957","1.0812","312"
"BothDip","7","0.6748","1.0594","312"
"BothDip","123","0.6916","1.0562","312"
"BothDip","2026","0.6753","1.0388","312"
"BothDip","17","0.6869","1.0681","312"
"BothDip","99","0.6791","1.0666","312"
"BothDip","314","0.6574","1.0287","312"
"CoulombEdge","42","0.6917","1.0773","312"
"CoulombEdge","1","0.6921","1.0723","312"
"CoulombEdge","7","0.6781","1.0567","312"
"CoulombEdge","123","0.6825","1.0525","312"
"CoulombEdge","2026","0.6824","1.057","312"
"CoulombEdge","17","0.6803","1.0719","312"
"CoulombEdge","99","0.6786","1.0644","312"
"CoulombEdge","314","0.6869","1.0676","312"
"CoulombEdgeBoth","42","0.6846","1.079","312"
"CoulombEdgeBoth","1","0.672","1.0427","312"
"CoulombEdgeBoth","7","0.6917","1.0787","312"
"CoulombEdgeBoth","123","0.6854","1.063","312"
"CoulombEdgeBoth","2026","0.6828","1.0637","312"
"CoulombEdgeBoth","17","0.6857","1.0661","312"
"CoulombEdgeBoth","99","0.678","1.054","312"
"CoulombEdgeBoth","314","0.6829","1.0611","312"
