variant,seed,fold,MAE,RMSE,N
Charge,42,1,0.46875289827585215,0.6889236054096325,32
Charge,42,2,0.6539614573121071,0.9936227570334035,32
Charge,42,3,0.779830971071797,1.301823749731847,31
Charge,42,4,0.5421371536870156,0.8202088119409147,31
Charge,42,5,0.6643038180566603,0.9646377561837045,31
Charge,42,6,0.6965858551763717,1.2716093348809085,31
Charge,42,7,0.8792480768695955,1.3740844119546296,31
Charge,42,8,0.7141184960642168,1.0294843927635486,31
Charge,42,9,0.7651336808358471,1.0619988049774178,31
Charge,42,10,0.5894967586763442,0.9261618318957916,31
Charge,1,1,0.47737413644790644,0.6743971765227353,32
Charge,1,2,0.6946880742907524,1.0902044526824033,32
Charge,1,3,0.7600638635696904,1.2851873370475249,31
Charge,1,4,0.6770950209709906,0.8883064421121943,31
Charge,1,5,0.6491155393661991,0.9202946464953087,31
Charge,1,6,0.6794929350576095,1.238250926140176,31
Charge,1,7,0.8859585292877691,1.3622365582622615,31
Charge,1,8,0.715996657648394,1.0349481838272905,31
Charge,1,9,0.7403017936214326,1.0657476429885455,31
Charge,1,10,0.5561465755585702,0.8159048949978277,31
Charge,7,1,0.48148901015520085,0.7363484585783558,32
Charge,7,2,0.6487298533320428,0.9603238082386393,32
Charge,7,3,0.7863764455241541,1.3259652996349909,31
Charge,7,4,0.6265958047682239,0.908690243647608,31
Charge,7,5,0.6765192785570698,0.9053472089307906,31
Charge,7,6,0.7034774518782095,1.2509316542855753,31
Charge,7,7,0.8865435623353527,1.3526892283987642,31
Charge,7,8,0.7268912100022838,1.0260204810739801,31
Charge,7,9,0.7321445019014418,1.0587207540127384,31
Charge,7,10,0.5691229989451746,0.8114862451012854,31
Charge,123,1,0.4986717998981476,0.8282311201406191,32
Charge,123,2,0.6647726669907572,1.0462673127621474,32
Charge,123,3,0.7995190158967048,1.2450572910689386,31
Charge,123,4,0.6343620284911123,0.794908864718329,31
Charge,123,5,0.6664854711101901,0.9418456016272964,31
Charge,123,6,0.6820479131514025,1.2530642664135352,31
Charge,123,7,0.883803802151834,1.3114595320573907,31
Charge,123,8,0.720055918539724,1.0176410070425272,31
Charge,123,9,0.7447332797511933,1.0568406463775253,31
Charge,123,10,0.5998714431639639,0.8055184929066753,31
Charge,2026,1,0.5136128962039949,0.7649258794915091,32
Charge,2026,2,0.6891237124800683,1.0401970547492174,32
Charge,2026,3,0.7891920074339835,1.2566697229940418,31
Charge,2026,4,0.6142572049171695,0.8207162468321801,31
Charge,2026,5,0.6608750666341474,0.900465015187523,31
Charge,2026,6,0.7066889424477855,1.2111791274731065,31
Charge,2026,7,0.9014071610666091,1.3510475122382277,31
Charge,2026,8,0.7069717222644436,0.9913105114843257,31
Charge,2026,9,0.7361237541321783,1.0517660104391777,31
Charge,2026,10,0.5842105496314263,0.8316628398127568,31
Charge,17,1,0.48229929059743887,0.7958388392241028,32
Charge,17,2,0.6916413083672525,1.080949892567615,32
Charge,17,3,0.7734559351398097,1.3362572423248242,31
Charge,17,4,0.6300776081700479,0.8822604738175864,31
Charge,17,5,0.6600100532654795,0.9658334944543548,31
Charge,17,6,0.692358570714151,1.2697217277475084,31
Charge,17,7,0.889714906292577,1.3473832423583436,31
Charge,17,8,0.7129699645503875,1.0541899278291522,31
Charge,17,9,0.7861770968283376,1.0892965910584642,31
Charge,17,10,0.5938787767964024,0.8320684355350979,31
Charge,99,1,0.4791019558906554,0.7890687550845431,32
Charge,99,2,0.6978333219885825,1.1618235703948046,32
Charge,99,3,0.7934206993349135,1.3048385287964896,31
Charge,99,4,0.6282085372555641,0.9215377887604227,31
Charge,99,5,0.6462842725938366,0.936626861011008,31
Charge,99,6,0.681896532735517,1.2205183080089517,31
Charge,99,7,0.8858099099128477,1.310575191940777,31
Charge,99,8,0.7226894209461827,1.0577319195646173,31
Charge,99,9,0.7644098727933824,1.0495273231525548,31
Charge,99,10,0.5696895891620267,0.8416854264733382,31
Charge,314,1,0.4860141873359681,0.7157034254529386,32
Charge,314,2,0.6813173890113831,1.1343452967977519,32
Charge,314,3,0.7825917351630425,1.2691549086802874,31
Charge,314,4,0.6052353151382938,0.8438259712694801,31
Charge,314,5,0.6913217498410132,1.0290835557358258,31
Charge,314,6,0.6825689500378026,1.2427486965531094,31
