feature,n_cols,baseline_MAE,perm_MAE,delta_MAE,std_perm_MAE
Residue_OHE,4,0.6832136158020266,1.136552277303511,0.4533386615014845,0.21954412499167675
LocalCoords,3,0.6832136158020266,1.0805298439918025,0.39731622818977597,0.14135843625905994
Hbond_acceptor,1,0.6832136158020266,0.8694243837748804,0.18621076797285385,0.2101168484852215
atomic_charge,1,0.6832136158020266,0.7581894309289994,0.07497581512697282,0.12416871132071595
AtomLabel_OHE,9,0.6832136158020266,0.7449698248217183,0.0617562090196917,0.09870620524627448
Hbond_donor,1,0.6832136158020266,0.7373826338398841,0.054169018037857564,0.11180702732173932
RadiusCounts,4,0.6832136158020266,0.7323220220304305,0.049108406228403956,0.12250362619467688
InducedDipole_invariants,3,0.6832136158020266,0.7266722697404123,0.04345865393838577,0.10537250093815254
PermDipole_invariants,3,0.6832136158020266,0.7137708740849649,0.030557258282938315,0.0983757814826101
SASA,1,0.6832136158020266,0.7065126199876108,0.023299004185584282,0.10298639177381788
