"Variant","Seed","MAE","RMSE","N"
"Charge","42","0.6746","1.0623","312"
"Charge","1","0.683","1.0571","312"
"Charge","7","0.683","1.0522","312"
"Charge","123","0.6887","1.0454","312"
"Charge","2026","0.6897","1.0386","312"
"Charge","17","0.6906","1.0816","312"
"Charge","99","0.6863","1.0736","312"
"Charge","314","0.6817","1.0663","312"
"Invariant","42","0.693","1.0966","312"
"Invariant","1","0.6971","1.0714","312"
"Invariant","7","0.6825","1.0656","312"
"Invariant","123","0.6859","1.0648","312"
"Invariant","2026","0.6933","1.0722","312"
"Invariant","17","0.69","1.0767","312"
"Invariant","99","0.6947","1.0768","312"
"Invariant","314","0.6874","1.0659","312"
"PhysEdge","42","0.6835","1.0576","312"
"PhysEdge","1","0.6893","1.0689","312"
"PhysEdge","7","0.6892","1.0693","312"
"PhysEdge","123","0.6852","1.069","312"
"PhysEdge","2026","0.6862","1.0667","312"
"PhysEdge","17","0.6754","1.0487","312"
"PhysEdge","99","0.69","1.0669","312"
"PhysEdge","314","0.679","1.057","312"
"InvariantPhysEdge","42","0.6966","1.0759","312"
"InvariantPhysEdge","1","0.6868","1.0761","312"
"InvariantPhysEdge","7","0.6919","1.0772","312"
"InvariantPhysEdge","123","0.6997","1.0983","312"
"InvariantPhysEdge","2026","0.6831","1.0595","312"
"InvariantPhysEdge","17","0.6947","1.0791","312"
"InvariantPhysEdge","99","0.702","1.0796","312"
"InvariantPhysEdge","314","0.6907","1.0829","312"
