Filename,First O-H-H-O-H-H Row,Last H in Last O-H-H-O-H-H Row,Last_Atom_ID_In_Source_XYZ,Is_Consecutive_To_First_OHH_OHH
135L.xyz,1953,33986,1952,True
1A2P.xyz,5188,98973,5187,True
1YPI.xyz,7563,114833,7562,True
1HV0.xyz,2772,27014,2771,True
1BEO.xyz,1436,21382,1435,True
1A6K.xyz,2448,33845,2447,True
4LZT.xyz,1962,33953,1961,True
1FNA.xyz,1368,33959,1367,True
4GE0.xyz,12085,204588,12084,True
3EJI.xyz,2126,33949,2125,True
1V57.xyz,7605,150851,7604,True
2H1A.xyz,4447,85017,4446,True
2RDF.xyz,2395,115227,2394,True
6EEG.xyz,2102,33940,2101,True
3ITP.xyz,2103,33947,2102,True
1GS9.xyz,2725,754962,2724,True
1ERT.xyz,1634,21304,1633,True
1O73.xyz,2216,27103,2215,True
3D4D.xyz,4189,72153,4188,True
1KVR.xyz,5196,60674,5195,True
1A91.xyz,1192,72585,1191,True
7XJD.xyz,3616,72345,3615,True
2CPL.xyz,2508,27101,2507,True
2PPT.xyz,4607,99217,4606,True
4QYT.xyz,12085,204627,12084,True
1DE3.xyz,2358,50786,2357,True
1MUT.xyz,2094,33800,2093,True
1EGF.xyz,795,21386,794,True
4HMI.xyz,2129,33919,2128,True
4PTI.xyz,893,21361,892,True
2OXP.xyz,2389,132624,2388,True
3FX5.xyz,3137,50773,3136,True
3ERO.xyz,2097,33929,2096,True
1EGO.xyz,1340,27271,1339,True
3F71.xyz,2964,115286,2963,True
2RVQ.xyz,4149,754145,4148,True
1DG9.xyz,2496,33842,2495,True
1EX3.xyz,3579,41750,3578,True
4KY6.xyz,2094,33950,2093,True
1POH.xyz,1296,21392,1295,True
3C1F.xyz,2107,33948,2106,True
1JHB.xyz,1682,27187,1681,True
3TP8.xyz,2097,33953,2096,True
3C73.xyz,4391,84979,4390,True
2H19.xyz,4447,114969,4446,True
1L98.xyz,2643,50804,2642,True
1XNB.xyz,2773,27021,2772,True
1B2V.xyz,2615,205066,2614,True
1BVC.xyz,2472,33836,2471,True
3SSI.xyz,1583,85342,1582,True
1YPT.xyz,9329,754270,9328,True
1KVS.xyz,5197,60672,5196,True
4ICB.xyz,1220,16402,1219,True
1KVT.xyz,5199,60689,5198,True
1HIC.xyz,701,16432,700,True
2HNP.xyz,5219,755233,5218,True
1QLP.xyz,6257,754669,6256,True
1ERU.xyz,1632,21290,1631,True
5E3F.xyz,2104,33942,2103,True
1DIV.xyz,2383,115326,2382,True
1BI6.xyz,779,21412,778,True
3EZG.xyz,2968,115272,2967,True
1EEJ.xyz,6587,132037,6586,True
1I0E.xyz,24237,765785,24236,True
1HV1.xyz,2766,27011,2765,True
1YPH.xyz,7043,84667,7042,True
1XOB.xyz,1657,21381,1656,True
