Filename,Last_Atom_ID_Dissolved,Last_Atom_ID_Neutralized,Difference,Status
1FKS.xyz,1666,1666,0,OK
4YIJ.xyz,4362,4362,0,OK
1QK1.xyz,48448,48448,0,OK
5ISR.xyz,2096,2096,0,OK
5KGU.xyz,2098,2098,0,OK
1MBC.xyz,2471,2471,0,OK
4KY7.xyz,2155,2155,0,OK
2RBM.xyz,2125,2125,0,OK
2TGA.xyz,3223,3223,0,OK
2RN2.xyz,2460,2460,0,OK
3TP7.xyz,2099,2099,0,OK
4XLL.xyz,5688,5688,0,OK
1UBQ.xyz,1232,1232,0,OK
1BPI.xyz,892,892,0,OK
1GYM.xyz,4806,4806,0,OK
5KIX.xyz,2096,2096,0,OK
5EGT.xyz,2099,2099,0,OK
3C1R.xyz,1882,1882,0,OK
7RSA.xyz,1860,1860,0,OK
5JAV.xyz,2091,2091,0,OK
1KTE.xyz,1664,1664,0,OK
1VII.xyz,596,596,0,OK
1KVS.xyz,5196,5196,0,OK
1HIC.xyz,700,700,0,OK
1KVT.xyz,5198,5198,0,OK
4ICB.xyz,1219,1219,0,OK
1ERU.xyz,1631,1631,0,OK
1QLP.xyz,6256,6256,0,OK
1BVC.xyz,2471,2471,0,OK
3SSI.xyz,1582,1582,0,OK
1HV1.xyz,2765,2765,0,OK
1XOB.xyz,1656,1656,0,OK
5E3F.xyz,2103,2103,0,OK
1DIV.xyz,2382,2382,0,OK
1EEJ.xyz,6586,6586,0,OK
3FX5.xyz,3136,3136,0,OK
1EGO.xyz,1339,1339,0,OK
3ERO.xyz,2096,2096,0,OK
3F71.xyz,2963,2963,0,OK
1EGF.xyz,794,794,0,OK
1MUT.xyz,2093,2093,0,OK
4HMI.xyz,2128,2128,0,OK
4PTI.xyz,892,892,0,OK
2H19.xyz,4446,4446,0,OK
3C73.xyz,4390,4390,0,OK
1XNB.xyz,2772,2772,0,OK
1L98.xyz,2642,2642,0,OK
2RVQ.xyz,4148,4148,0,OK
4KY6.xyz,2093,2093,0,OK
1EX3.xyz,3578,3578,0,OK
1DG9.xyz,2495,2495,0,OK
3TP8.xyz,2096,2096,0,OK
1JHB.xyz,1681,1681,0,OK
3C1F.xyz,2106,2106,0,OK
1POH.xyz,1295,1295,0,OK
4LZT.xyz,1961,1961,0,OK
1FNA.xyz,1367,1367,0,OK
1A6K.xyz,2447,2447,0,OK
1V57.xyz,7604,7604,0,OK
3EJI.xyz,2125,2125,0,OK
6EEG.xyz,2101,2101,0,OK
3ITP.xyz,2102,2102,0,OK
135L.xyz,1952,1952,0,OK
1A2P.xyz,5187,5187,0,OK
1BEO.xyz,1435,1435,0,OK
1HV0.xyz,2771,2771,0,OK
2CPL.xyz,2507,2507,0,OK
7XJD.xyz,3615,3615,0,OK
1A91.xyz,1191,1191,0,OK
1DE3.xyz,2357,2357,0,OK
1ERT.xyz,1633,1633,0,OK
1GS9.xyz,2724,2724,0,OK
3D4D.xyz,4188,4188,0,OK
1O73.xyz,2215,2215,0,OK
1KVR.xyz,5195,5195,0,OK
3SK5.xyz,2096,2096,0,OK
1LZ1.xyz,2022,2022,0,OK
