pdb_id,status,multi_model_stripped,missing_residues_count,missing_atoms_count,nonstandard_replaced,large_missing_residues,notes
1AC1,ok,,2,68,,,
1BVC,ok,,0,0,,,
1EGO,ok,yes (1335 ATOM/HETATM lines),0,1,,,
1ERU,ok,,0,0,,,
1EY7,ok,,14,0,,chain 0 pos 0 (6 residues); chain 0 pos 135 (8 residues),
1FVJ,ok,,2,56,,,
1HHO,ok,,0,0,,,
1HV0,ok,,0,0,,,
1HV1,ok,,0,0,,,
1KVS,ok,,0,0,,,
1KVT,ok,,0,0,,,
1LE2,ok,,0,1,,,
1XSN,FAILED,,,,,,AttributeError: 'NoneType' object has no attribute '_current_chain'
2H19,ok,,12,0,,,
2H1A,ok,,11,0,,,
2H1B,ok,,22,0,,,
2PYO,FAILED,,,,,,AttributeError: 'NoneType' object has no attribute '_current_chain'
2QDB,ok,,24,0,,chain 0 pos 37 (11 residues); chain 0 pos 125 (8 residues),
2RDF,ok,,24,0,,chain 0 pos 0 (6 residues); chain 0 pos 36 (10 residues); chain 0 pos 125 (8 residues),
3C1R,ok,,8,0,,chain 0 pos 0 (7 residues),
3C71,ok,,3,1,,,
3C73,ok,,6,0,,,
3CYF,ok,,12,0,,chain 0 pos 185 (9 residues),
3CZ9,ok,,10,0,,chain 0 pos 187 (9 residues),
3D6C,ok,,14,0,,chain 0 pos 0 (6 residues); chain 0 pos 135 (8 residues),
3EZG,ok,,10,0,,chain 0 pos 186 (8 residues),
3F71,ok,,10,0,,chain 0 pos 186 (8 residues),
4GE0,ok,,20,0,,,
4GE3,ok,,16,0,,,
7XJD,ok,,0,1,,,
